ITEM,EN RegEx,GE Dieter,,GE RegEx,alt1,alt2,alt3,alt4,alt5,CorrectSwedishTranslation1,CorrectSwedishTranslation2,CorrectSwedishTranslation3,CorrectSwedishTranslation4,CorrectSwedishTranslation5,CorrectSwedishTranslation6,CorrectSwedishTranslation7,CorrectSwedishTranslation8,CorrectSwedishTranslation9,CorrectSwedishTranslation10,CorrectSwedishTranslation11,CorrectSwedishTranslation12,CommentAboutSwedishTranslation,Swedish regexp corrected,FR Louise,alt1,alt2,alt3,alt4,alt5,CATEGORY,CLOSURE,EN (SV) ACTION,GE ACTION,Source-peFinder,Source-Original ConText,Source-criticlEventFinder-in addition to peFinder,Source-BioscopeAll,Source-BioscopeFiltered,Source-Development-Round1,Zogg's items,Source-Swedish-physician,Source-Swedish Guidelines,Ignore-ID from toCorrectReplacedRegEx_Final_toWendy.xlsx
as the secondary cause of,,als die zweite Ursache von,,,als Nebeneffekt von ,,,,,som den sekundära orsaken,som den sekundära orsaken till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,258
as the secondary etiology for,,als die zweite Krankheitsursache für,,,,,,,,som den sekundära etiologin för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,213
as the secondary etiology of,,als die zweite Krankheitsursache von,,,,,,,,som den sekundära etiologin av,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,227
as the secondary origin for,,als der zweite Ausgangspunkt für,,,,,,,,som det sekundära ursprunget för,som den sekundära källan till,,,,,,,,,,,inflection,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,248
as the secondary origin of,,als der zweite Ausgangspunkt von,,,,,,,,som sekundärt ursprung,som den sekundära källan till,,,,,,,,,,,inflection,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,217
as the secondary reason for,,als der zweite Grund für,,,,,,,,som den sekundära orsaken till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,247
as the secondary reason of,,als der zweite Grund von,,,,,,,,som den sekundära orsaken till,,,,,,,,,,,,word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,216
as the secondary source for,,als die zweite Quelle für,,,,,,,,som den sekundära källan för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,296
as the secondary source of,,als die zweite Quelle von,,,,,,,,som den sekundära orsaken till,som den sekundära källan till,,,,,,,,,,,word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,268
as the source for,,als die Quelle für,,,,,,,,som orsak för,som källan för,,,,,,,,,,,word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,284
as the source of,,als die Quelle von,,,,,,,,som orsak till,som källan till,,,,,,,,,,,word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,283
aside from,,abgesehen von,,(abgesehen\svon|abgesehen\sdavon|außer|unabhängig\sdavon|unabhängig\svon),unabhängig davon,außer,,,,bortsett från,,,,,,,,,,,,,,,,,,,,,but_group,terminate,terminate,1,1,,,,,,,,234
because,,weil,,\b(weil|da)\b,da,,,,,eftersom,pga,på grund av,,,,,,,,,,,,,,,,,,,because_group,terminate,terminate,,1,,,,,,,,
but,,aber,,,jedoch,dennoch,,,,men,,,,,,,,,,,,,,,,,,,,,but_group,terminate,terminate,1,1,,,,,,,,267
cause for,,Ursache für,,"(Grund|Gründ.{0,2}|Anlass|Anlässen}|Ursach.{0,2} |Auslöser)\s(für|von|d(es|er|ieser|ieses))",Auslöser für,,,,,orsak till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,278
cause of,,Ursache von,,,Auslöser von,Ursache von,,,,orsak,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,238
causes for,,Ursachen für,,,Gründe für,Anlässe für,,,,orsaker till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,271
causes of,,Ursachen von,,,Ursachen der,,,,,orsakerna till,orsaker till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,286
comes in with,,kommt mit,,"(komm.{0,2})\smit",,,,,,kommer in med,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
coming in with,,,,,,,,,,kommer in med,inkommer med,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
complaining,,beschwerdend,,,klagend,,,,,klagar,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
complains,,beschwert sich,,"(beschwer.{0,2}|beklag.{0,2}\ssich",beklagt sich,,,,,klagar,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
currently,,gegenwärtig,,(gegenwärtig|zur\sZeit|z.Zt.|z.\sZt.|momentan|zum\sgegenwärtigen\sZeitpunkt),zur Zeit,z.Zt.,momentan,,,nuvaande,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
ED,,Notfallabteilung,,\b(Notfallabteilung|Notaufnahme|ER|ED)\b,Notaufnahme,,,,,akutmottagning,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
emergency department,,Notfallabteilung,,\b(Notfallabteilung|Notaufnahme|ER|ED)\b,Notaufnahme,,,,,akutmottagningen,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
etiology for,,Ätiologie des,,Ätiologie\s(des|der|von|vom|zu|zum|dieses|dieser),Krankheitsursache des,,,,,etiologi för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,231
etiology of,,,,,Krankheitsursache,,,,,etiologin av,etiologi av,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,224
except,,außer,,\b(außer|mit\sAusnahmes\von)\b,mit Ausnahme von,,,,,utom,förutom,,,,,,,,,,,,,,,,,,,,but_group,terminate,terminate,1,1,,,,,,,,223
for this reason,,aus diesem Grund,,(aus\sdiesem\sGrun(d|de)|weswegen|deshalb),deshalb,weswegen,,,,varför,,,,,,,,,,,,,,,,,,,,,because_group,terminate,terminate,,,,,,63,,,,
her,,ihr,,"(\b(ihr.{0,2}\b)",,,,,,hennes,,,,,,,,,,,,,,,,,,,,,patient_group,terminate,terminate,,1,,,,,,,,
his,,sein,,"(\bsein.{0,2})\b)",,,,,,hans,,,,,,,,,,,,,,,,,,,,,patient_group,terminate,terminate,,1,,,,,,,,
however,,jedoch,,,aber,dennoch,,,,men,,,,,,,,,,,,,,,,,,,,,but_group,terminate,terminate,1,1,,,,,,,,252
involving,,miteinbeziehen,,"(miteinbezieh.{0,2}|involviert.{0,2})",involvieren,,,,,involverande,innefattar,,,,,,,,,,,wrong word,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,211
nevertheless,,dennoch,,,trotzdem,,,,,ändå,,,,,,,,,,,,,,,,,,,,,but_group,terminate,terminate,1,1,,,,,,,,295
noted,,angemerkt,,,,,,,,noteras,noterades,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
origin for,,Grunde für,,(Ausgangspunkt|Quelle|Grund)\sfür,Quelle für,Ausgangspunkt für,,,,ursprung,ursprung till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,250
origin of,,Grunde des,,(Ausgangspunkt|Quelle|Grund)\s(d(er|ieser|es|ieser)|von),Quelle des,Ausgangspunkt des,,,,ursprung,ursprung av,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,285
origins for,,Gründe für,,(Ausgangspunkte|Quellen|Gründe)\sfür,Quellen für,Ausgangspunkte für,,,,ursprunget för,ursprung för,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,246
origins of,,Gründe des,,(Ausgangspunkte|Quellen|Gründe)\s(d(er|ieser|es|ieser)|von),Gründe der,,,,,ursprung till,ursprunget till,ursprungen till,,,,,,,,,,prep+infelciton,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,292
other possibilities of,,andere Möglichkeiten der,,andere\s(Möglichkeiten|Optionen)\s(d(er|ieser|es|ieser)|von),andere Optionen der,,,,,andra möjligheter,andra möjligheter till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,244
patient,,Patient,,\bPatien(t|tin)\b,,,,,,patienten,,,,,,,,,,,,,,,,,,,,,patient_group,terminate,terminate,,1,,,,,,,,
patient's,,Patienten,,,,,,,,patientens,,,,,,,,,,,,,,,,,,,,,patient_group,terminate,terminate,,1,,,,,,,,
presented,,dargestellt,,,präsentiert,,,,,presenteras,presenterades,presenterade,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
presenting,,darstellend,,,präsentierend,,,,,presentera,debuterade,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
presents,,präsentiert,,(stellt\s.*?\b(dar|vor)\b),vorstellen,,,,,presenterar,debuterar,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
reason for,,Grund für,,(Grund|Anlass|Gründe|Anlässe)\s(für|zu|des|der|dieser|dieses),Anlass für,,,,,anledningen till,anledning till,,,,,,,,,,,,,,,,,,,,,terminate,terminate,1,,,,,,,,,220
reason of,,Grund des,,(Anlass|Grund)\s(des|der),Anlass des,,,,,på grund av,orsak till,,,,,,,,,,,,,,,,,,,,,terminate,terminate,1,,,,,,,,,270
reasons for,,Gründe für,,,Anlässe für,,,,,skäl till,,,,,,,,,,,,prep,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,232
reasons of,,Gründe des,,(Anlässe|Gründe)\s(des|der),Anlässe des,,,,,anledning till,anledningar till,,,,,,,,,,,missing word,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,263
recent,,kürzlich,,,neulich,jüngst,,,,nyligen,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
reported,,berichtete,,,dokumentierte,gemeldete,,,,rapporterade,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
reports,,Berichte,,,,,,,,rapporterar,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
secondary to,,sekundär,,,zweitrangig,,,,,sekundärt till,sekundär till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,253
since,,weil,,,da,aus diesem Grund,,,,sedan,,,,,,,,,,,,,,,,,,,,,because_group,terminate,terminate,,1,,,,,,,,
source for,,Quelle für,,(Quelle|Quellen|Grund|Gründe)\s(für|des|der)),Grund für,,,,,orsak till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,290
source of,,Quelle des,,,Grund des,,,,,källa till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,222
sources for,,Quellen für,,,Gründe für,,,,,orsakerna till,källor till,,,,,,,,,,,word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,287
sources of,,Quellen des,,,Gründe des,,,,,källor till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,281
stated,,behauptete,,(gab\s.*?\s\ban\b|behauptete),postulierte,,,,,angivna,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
states,,behauptet,,,postuliert,,,,,anger,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
still,,noch,,,immer noch,,,,,fortfarande,ändå,,,,,,,,,,,word sens,,,,,,,,,but_group,terminate,terminate,1,1,,,,,,,,221
sudden onset of,,plötzliches Auftreten von,,,,,,,,plötslig debut av,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,276
though,,obwohl,,,,,,,,men,,,,,,,,,,,,,,,,,,,,,but_group,terminate,terminate,1,1,,,,,,,,236
today,,heute,,,,,,,,idag,,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
trigger event for,,Auslöser für,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,,,,,,,,,
was found,,wurde gefunden,,"(wurd.{0,2}\s(gefunden|ermittelt|entdeckt))",wurde entdeckt,wurde ermittelt,,,,befanns,hittades,,,,,,,,,,,,,,,,,,,,presentation_group,terminate,terminate,,1,,,,,,,,
which,,dass,,",\s(der|die|das|den|dem|welch.{0,2})",welche,,,,,som,,,,,,,,,,,,,,,,,,,,,which_group,terminate,terminate,1,1,,,,,,,,237
who,,der,,,die,das,,,,vilken,,,,,,,,,,,,,,,,,,,,,patient_group,terminate,terminate,,1,,,,,,,,
with,,mit,,,,,,,,påföljande,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,,,,,,92,,,,
yet,,noch,,,dennoch,jedoch,schon,jetzt noch,noch immer,ännu,,,,,,,,,,,,,,,,,,,,,but_group,terminate,terminate,1,1,,,,,,,,272
did not rule out,,wurde nicht ausgeschlossen,,,,,,,,,,,,,,,,,,,,,,n'a pas exclu (Zogg),n'a pas écarté,n'a pas éliminé,"pas écartée, pas écarté","pas écartées, pas écartés","pas éliminé, pas éliminés",pseudoNegation,,forward,backward,,,,,,,1,,,
no evidence to suggest,,keinen Hinweis darauf anzunehmen,,"\bkein.{0,2}\b\s(Daten|Information(en)?|Auffälligkeit(en)?|Anhaltspunkt(e)?|Hinweis(e)?|Evidenz(en)?|Beweis(e)?|Nachweis(e)?)(,)?\sanzunehmen",,,,,,,,,,,,,,,,,,,,aucune preuve pour suggérer (Zogg),pas d'indice suggérant,pas de preuve suggérant,pas d'indice qui suggère,,,definiteNegatedExistence,,forward,forward,,,,,,,1,,,
no interval change,,keinen Intervallwechsel,,"\bkein.{0,2}\b)\sIntervallwechsel",,,,,,,,,,,,,,,,,,,,pas de changement d'intervalle (Zogg),,,,,,definiteNegatedExistence,,forward,forward,,,,,,,1,,,
no mammographic evidence of,,Mammografie zeigt keine Auffälligkeiten,,(Mammo(grafie(n)?|graphie(n)?)\szeigt(e|en)?\skeine\sAuffälligkeit(en)?|kein(e|en)?\smammo(grafischen|graphischen)\s(Hinweis(e)?|Anhaltspunkt(e)?|Beweis(e)?|Evidenz(en)?)),kein mammografischer Hinweis,,,,,,,,,,,,,,,,,,,aucune preuve de mammographie (Zogg),,,,,,definiteNegatedExistence,,forward,forward,,,,,,,1,,,
no new evidence,,keine neuen Hinweise,,"\bkein.{0,2}\s(neue(en)?|weitere(n)?|radio(grafische(n)?|graphische(n)?))\s(Auffälligkeit(en)?|Daten|Information(en)?|Anhaltspunkt(e)?|Hinweis(e)?|Evidenz(en)?|Beweis(e)?|Nachweis(e)?)",,,,,,,,,,,,,,,,,,,,aucun élément nouveau (Zogg),pas de nouvelle preuve,,,,,definiteNegatedExistence,,forward,forward,,,,,,,1,,,
no other evidence,,keine weiteren Hinweise,,,,,,,,,,,,,,,,,,,,,,aucune autre preuve (Zogg),pas d'autre indice,,,,,definiteNegatedExistence,,forward,forward,,,,,,,1,,,
no radiographic evidence of,,keine radiografischer Hinweis,,,,,,,,,,,,,,,,,,,,,,aucune preuve radiographique de (Zogg),,,,,,definiteNegatedExistence,,forward,forward,,,,,,,1,,,
not appear,,scheinen nicht,,\bschein(t|en)\b\snicht,,,,,,,,,,,,,,,,,,,,semble pas (Zogg),ne présente pas,,,,,probableNegatedExistence,,backward,backward,,,,,,,1,,,
ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bidirectional,,,,,,,,1,,,
without any evidence of,,ohne Verdacht auf,,\bohne\s(Verdacht(s\auf)?|Information(en)?|Auffälligkeit(en)?|Anhaltspunkt(e)?|Hinweis(e)?|Evidenz(en)?|Beweis(e)?|Nachweis(e)?),ohne Auffälligkeiten zu,ohne Hinweise auf,ohne Anhaltspunkte zu,,,,,,,,,,,,,,,,,sans aucune preuve de (Zogg),sans indice de,sans indice d',sans indice,,,definiteNegatedExistence,,forward,forward,,,,,,,1,,,
without evidence,,ohne Verdacht,,,ohne Auffälligkeiten,ohne Hinweise,ohne Anhaltspunkte,,,,,,,,,,,,,,,,,sans preuve (Zogg),,,,,,definiteNegatedExistence,,forward,forward,,,,,,,1,,,
